symbol,days,B_LOW,B_NORMAL,B_HIGH,B_SHOCK,B_HIGH_OR_SHOCK,A_LOW,A_HIGH_OR_SHOCK
AAL,1335,26.367041198501873,69.88764044943821,3.7453183520599254,0.0,3.7453183520599254,0.0,97.80068728522336
AAPL,2113,39.46994794131567,54.898248935163274,5.537150970184572,0.09465215333648841,5.63180312352106,0.0,74.74249888042992
ABBV,1468,23.092643051771116,72.0708446866485,4.836512261580381,0.0,4.836512261580381,0.0,58.18639798488665
AI,1471,44.11964649898029,50.713800135961925,5.030591434398368,0.13596193065941536,5.166553365057784,0.0,98.05153991200503
AMC,1503,48.170326014637396,46.174318030605455,5.588822355289421,0.0665335994677312,5.655355954757153,0.0,98.15157116451016
AMD,2321,22.662645411460577,73.80439465747523,3.532959931064197,0.0,3.532959931064197,0.0,98.48422777550184
AMZN,2491,54.71698113207547,39.98394219189081,5.13849859494179,0.16057808109193095,5.299076676033721,0.0,77.59479126771352
ARM,567,31.922398589065253,64.19753086419753,3.880070546737213,0.0,3.880070546737213,0.0,95.63318777292577
AVGO,1426,38.99018232819074,57.012622720897625,3.8569424964936885,0.1402524544179523,3.997194950911641,0.0,90.42690815006468
BAC,2363,24.375793482860768,70.84214980956412,4.782056707575117,0.0,4.782056707575117,0.0,75.99677809101892
C,1496,24.197860962566846,72.32620320855615,3.4759358288770055,0.0,3.4759358288770055,0.0,82.61138613861387
CCL,1359,28.844738778513612,66.96100073583517,4.194260485651214,0.0,4.194260485651214,0.0,97.97160243407707
COIN,1076,23.141263940520446,72.58364312267658,4.275092936802974,0.0,4.275092936802974,0.0,97.49163879598662
COST,1485,20.26936026936027,75.82491582491583,3.9057239057239053,0.0,3.9057239057239053,0.0,37.320872274143305
CRM,1469,22.94077603812117,72.43022464261402,4.628999319264806,0.0,4.628999319264806,0.0,91.31529263687854
CVX,2487,23.16043425814234,72.81865701648572,4.0209087253719344,0.0,4.0209087253719344,0.0,52.397391637897975
DAL,1479,22.853279242731574,74.4421906693712,2.704530087897228,0.0,2.704530087897228,0.0,97.12320200125079
DDOG,1485,22.55892255892256,73.46801346801347,3.9730639730639727,0.0,3.9730639730639727,0.0,98.13084112149532
F,1344,23.511904761904763,72.91666666666666,3.571428571428571,0.0,3.571428571428571,0.0,96.51639344262296
GM,1480,22.22972972972973,74.1891891891892,3.581081081081081,0.0,3.581081081081081,0.0,95.0625
GME,1503,59.14836992681304,33.59946773120426,7.18562874251497,0.0665335994677312,7.252162341982701,0.0,98.02834257547751
GOOGL,2309,47.206582936336076,47.72628843655262,4.850584668687744,0.21654395842356,5.067128627111304,0.20584602717167558,69.08192671881433
GS,2489,20.73121735636802,74.96986741663318,4.298915226998794,0.0,4.298915226998794,0.0,73.01648141050211
HAL,1488,20.900537634408604,76.74731182795699,2.3521505376344085,0.0,2.3521505376344085,0.0,94.21641791044776
HD,1476,20.867208672086722,76.28726287262873,2.8455284552845526,0.0,2.8455284552845526,0.0,61.59147869674185
HOOD,1105,23.167420814479637,70.67873303167421,6.153846153846154,0.0,6.153846153846154,0.0,97.55102040816327
INTC,1504,24.867021276595743,70.54521276595744,4.587765957446808,0.0,4.587765957446808,0.0,94.39655172413794
IONQ,1248,24.358974358974358,69.23076923076923,6.41025641025641,0.0,6.41025641025641,1.461988304093567,91.15497076023392
JNJ,1484,20.013477088948786,77.22371967654986,2.7628032345013476,0.0,2.7628032345013476,0.0,15.773067331670823
JPM,2480,24.637096774193548,70.12096774193549,5.241935483870968,0.0,5.241935483870968,0.0,51.80769230769231
LCID,1323,32.50188964474679,63.26530612244898,4.157218442932729,0.07558578987150416,4.232804232804233,0.0,94.45599445599446
LYFT,1436,26.6016713091922,68.24512534818942,5.153203342618385,0.0,5.153203342618385,0.0,98.0719794344473
MARA,1504,21.143617021276594,75.06648936170212,3.789893617021277,0.0,3.789893617021277,0.0,98.15270935960592
